Year,Interval,FuelBlendNG,FuelBlendH2,FuelBlendBiomass,CarbonCredits,CreditsPurchased,CreditsEarned,CreditsSold,CreditsHeld,CreditsUsedToOffset,TotalEmissionsPerInterval,ExceedsCap,EmissionsDifference,BelowCap,InvestTime,ActiveH2Blending
0,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10000.0,,,1.0,,
0,1,1.0,0.0,0.0,0.0,,9821.344612135428,0.0,9821.344612135428,0.0,0.0,,,0.0,,
0,2,1.0,0.0,0.0,0.0,,9473.552137914401,9294.89675004983,10000.0,0.0,0.0,,,0.0,,
0,3,1.0,0.0,0.0,0.0,,9138.075656044899,19138.0756560449,0.0,0.0,0.0,,,0.0,,
0,4,1.0,0.0,0.0,0.0,,8814.47903383618,8814.47903383618,0.0,0.0,0.0,,,0.0,,
0,5,1.0,0.0,0.0,0.0,,8502.341582884774,8502.341582884774,0.0,0.0,0.0,,,0.0,,
0,6,1.0,0.0,0.0,0.0,,8201.257512162923,0.0,8201.257512162923,0.0,0.0,,,0.0,,
0,7,1.0,0.0,0.0,0.0,,7910.8354004742105,6112.092912637134,10000.0,0.0,0.0,,,0.0,,
0,8,1.0,0.0,0.0,0.0,,7630.697687590515,7630.697687590515,10000.0,0.0,0.0,,,0.0,,
0,9,1.0,0.0,0.0,0.0,,7360.4801834087975,17360.4801834088,0.0,0.0,0.0,,,0.0,,
0,10,1.0,0.0,0.0,0.0,,7099.831594489566,7099.831594489566,0.0,0.0,0.0,,,0.0,,
0,11,1.0,0.0,0.0,0.0,,6848.413067361511,6848.413067361511,0.0,0.0,0.0,,,0.0,,
1,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10000.0,,,1.0,,
1,1,1.0,0.0,0.0,0.0,,9821.344612135428,0.0,9821.344612135428,0.0,0.0,,,0.0,,
1,2,1.0,0.0,0.0,0.0,,9473.552137914401,18432.972406094726,861.924343955101,0.0,0.0,,,0.0,,
1,3,1.0,0.0,0.0,0.0,,9138.075656044899,0.0,10000.0,0.0,0.0,,,0.0,,
1,4,1.0,0.0,0.0,0.0,,8814.47903383618,17316.820616720954,1497.6584171152263,0.0,0.0,,,0.0,,
1,5,1.0,0.0,0.0,0.0,,8502.341582884774,0.0,10000.0,0.0,0.0,,,0.0,,
1,6,1.0,0.0,0.0,0.0,,8201.257512162923,18201.257512162923,0.0,0.0,0.0,,,0.0,,
1,7,1.0,0.0,0.0,0.0,,7910.8354004742105,5541.533088064725,2369.3023124094852,0.0,0.0,,,0.0,,
1,8,1.0,0.0,0.0,0.0,,7630.697687590515,0.0,10000.0,0.0,0.0,,,0.0,,
1,9,1.0,0.0,0.0,0.0,,7360.4801834087975,17360.4801834088,0.0,0.0,0.0,,,0.0,,
1,10,1.0,0.0,0.0,0.0,,7099.831594489566,0.0,7099.831594489566,0.0,0.0,,,0.0,,
